alias_venue,alias_city,canonical_venue,canonical_city,canonical_country,review_status,notes
"Traeger Park, Alice Springs",Alice Springs,Traeger Park,Alice Springs,Australia,approved_auto,source=gemini_candidate
Trent Bridge,Nottingham,Trent Bridge,Nottingham,England,approved_auto,source=gemini_candidate
"Trent Bridge, Nottingham",Nottingham,Trent Bridge,Nottingham,England,approved_auto,source=gemini_candidate
Tribhuvan University International Cricket Ground,Kirtipur,Tribhuvan University International Cricket Ground,Kirtipur,Nepal,approved_auto,source=gemini_candidate
"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Tribhuvan University International Cricket Ground,Kirtipur,Nepal,approved_auto,source=gemini_candidate
UKM-YSD Cricket Oval,Bangi,UKM-YSD Cricket Oval,Bangi,Malaysia,approved_auto,source=gemini_candidate
"UKM-YSD Cricket Oval, Bangi",Bangi,UKM-YSD Cricket Oval,Bangi,Malaysia,approved_auto,source=gemini_candidate
United Cricket Club Ground,Windhoek,United Cricket Club Ground,Windhoek,Namibia,approved_auto,source=gemini_candidate
"United Cricket Club Ground, Windhoek",Windhoek,United Cricket Club Ground,Windhoek,Namibia,approved_auto,source=gemini_candidate
University Oval,Dunedin,University Oval,Dunedin,New Zealand,approved_auto,source=gemini_candidate
"University Oval, Dunedin",Dunedin,University Oval,Dunedin,New Zealand,approved_auto,source=gemini_candidate
University of Otago Oval,,University Oval,Dunedin,New Zealand,approved_auto,source=gemini_candidate
Uxbridge Cricket Club Ground,Uxbridge,Uxbridge Cricket Club Ground,Uxbridge,England,approved_auto,source=gemini_candidate
Uxbridge Cricket Club Ground,,Uxbridge Cricket Club Ground,Uxbridge,England,approved_auto,source=gemini_candidate
VRA Cricket Ground,Amstelveen,VRA Cricket Ground,Amstelveen,Netherlands,approved_auto,source=gemini_candidate
VRA Ground,Amstelveen,VRA Cricket Ground,Amstelveen,Netherlands,approved_auto,source=gemini_candidate
"VRA Ground, Amstelveen",Amstelveen,VRA Cricket Ground,Amstelveen,Netherlands,approved_auto,source=gemini_candidate
Vanuatu Cricket Ground,Port Vila,Vanuatu Cricket Ground,Port Vila,Vanuatu,approved_auto,source=gemini_candidate
Vanuatu Cricket Ground (Oval 2),Port Vila,Vanuatu Cricket Ground,Port Vila,Vanuatu,approved_auto,source=gemini_candidate
VCA Ground,,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,approved_auto,source=gemini_candidate
Vidarbha C.A. Ground,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,approved_auto,source=gemini_candidate
Vidarbha Cricket Association Ground,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,approved_auto,source=gemini_candidate
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,approved_auto,source=gemini_candidate
"Vidarbha Cricket Association Stadium, Jamtha",,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,approved_auto,source=gemini_candidate
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,approved_auto,source=gemini_candidate
Wanderers,Windhoek,Wanderers Cricket Ground,Windhoek,Namibia,approved_auto,source=gemini_candidate
Wanderers Cricket Ground,Windhoek,Wanderers Cricket Ground,Windhoek,Namibia,approved_auto,source=gemini_candidate
"Wanderers Cricket Ground, Windhoek",Windhoek,Wanderers Cricket Ground,Windhoek,Namibia,approved_auto,source=gemini_candidate
Wankhede Stadium,Mumbai,Wankhede Stadium,Mumbai,India,approved_auto,source=gemini_candidate
Wankhede Stadium,,Wankhede Stadium,Mumbai,India,approved_auto,source=gemini_candidate
"Wankhede Stadium, Mumbai",Mumbai,Wankhede Stadium,Mumbai,India,approved_auto,source=gemini_candidate
"Warner Park, Basseterre",St Kitts,"Warner Park, Basseterre",Basseterre,Saint Kitts and Nevis,approved_auto,source=gemini_candidate
"Warner Park, Basseterre",,"Warner Park, Basseterre",Basseterre,Saint Kitts and Nevis,approved_auto,source=gemini_candidate
"Warner Park, Basseterre, St Kitts",Basseterre,"Warner Park, Basseterre",Basseterre,Saint Kitts and Nevis,approved_auto,source=gemini_candidate
"Warner Park, St Kitts",Basseterre,"Warner Park, Basseterre",Basseterre,Saint Kitts and Nevis,approved_auto,source=gemini_candidate
Welagedara Stadium,Kurunegala,Welagedara Stadium,Kurunegala,Sri Lanka,approved_auto,source=gemini_candidate
"Welagedara Stadium, Kurunegala",Kurunegala,Welagedara Stadium,Kurunegala,Sri Lanka,approved_auto,source=gemini_candidate
West End Park International Cricket Stadium,Doha,West End Park International Cricket Stadium,Doha,Qatar,approved_auto,source=gemini_candidate
"West End Park International Cricket Stadium, Doha",Doha,West End Park International Cricket Stadium,Doha,Qatar,approved_auto,source=gemini_candidate
W.A.C.A. Ground,Perth,Western Australia Cricket Association Ground,Perth,Australia,approved_auto,source=gemini_candidate
Western Australia Cricket Association Ground,Perth,Western Australia Cricket Association Ground,Perth,Australia,approved_auto,source=gemini_candidate
"Western Australia Cricket Association Ground, Perth",Perth,Western Australia Cricket Association Ground,Perth,Australia,approved_auto,source=gemini_candidate
Westpac Stadium,Wellington,Westpac Stadium,Wellington,New Zealand,approved_auto,source=gemini_candidate
Westpac Stadium,,Westpac Stadium,Wellington,New Zealand,approved_auto,source=gemini_candidate
"Westpac Stadium, Wellington",Wellington,Westpac Stadium,Wellington,New Zealand,approved_auto,source=gemini_candidate
Willowmoore Park,Benoni,Willowmoore Park,Benoni,South Africa,approved_auto,source=gemini_candidate
Willowmoore Park A Field,Benoni,Willowmoore Park,Benoni,South Africa,approved_auto,source=gemini_candidate
Willowmoore Park B Field,Benoni,Willowmoore Park,Benoni,South Africa,approved_auto,source=gemini_candidate
Willowmoore Park C Field,Benoni,Willowmoore Park,Benoni,South Africa,approved_auto,source=gemini_candidate
"Willowmoore Park, Benoni",Benoni,Willowmoore Park,Benoni,South Africa,approved_auto,source=gemini_candidate
"Windsor Park, Roseau",Dominica,"Windsor Park, Roseau",Roseau,Dominica,approved_auto,source=gemini_candidate
"Windsor Park, Roseau, Dominica",Roseau,"Windsor Park, Roseau",Roseau,Dominica,approved_auto,source=gemini_candidate
"Wong Cricket Field, Woodley Park",Los Angeles,Woodley Cricket Field,Los Angeles,United States of America,approved_auto,source=gemini_candidate
"Woodley Cricket Field, Los Angeles",Los Angeles,Woodley Cricket Field,Los Angeles,United States of America,approved_auto,source=gemini_candidate
"Wright Cricket Field, Woodley Park",Los Angeles,Woodley Cricket Field,Los Angeles,United States of America,approved_auto,source=gemini_candidate
Yeonhui Cricket Ground,Incheon,Yeonhui Cricket Ground,Incheon,South Korea,approved_auto,source=gemini_candidate
"Yeonhui Cricket Ground, Incheon",Incheon,Yeonhui Cricket Ground,Incheon,South Korea,approved_auto,source=gemini_candidate
Zahur Ahmed Chowdhury Stadium,Chattogram,Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh,approved_auto,source=gemini_candidate
Zahur Ahmed Chowdhury Stadium,Chittagong,Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh,approved_auto,source=gemini_candidate
"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh,approved_auto,source=gemini_candidate
"Zahur Ahmed Chowdhury Stadium, Chittagong",Chattogram,Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh,approved_auto,source=gemini_candidate
Zohur Ahmed Chowdhury Stadium,Chittagong,Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh,approved_auto,source=gemini_candidate
Zayed Cricket Stadium,Abu Dhabi,Zayed Cricket Stadium,Abu Dhabi,United Arab Emirates,approved_auto,source=gemini_candidate
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Zayed Cricket Stadium,Abu Dhabi,United Arab Emirates,approved_auto,source=gemini_candidate
F B Colony Ground,Vadodara,Alembic 2  Cricket Ground,Vadodara,India,approved_manual,manual_historical_name_mapping
Alembic No 2 Ground,Vadodara,Alembic 2  Cricket Ground,Vadodara,India,approved_manual,manual_historical_name_mapping
Nelson Park,Napier,Nelson Park,Napier,New Zealand,approved_manual,manual_city_typo_mapping
Reliance Stadium,Vadodara,Reliance Cricket Stadium,Vadodara,India,approved_manual,manual_name_variant_mapping
